TreeDepth,Index,Address,Module,Symbol
0,342,0x82b09e8e,ntoskrnl,NtSetIoCompletionEx
0,343,0x82b31d17,ntoskrnl,NtSetLdtEntries
0,344,0x82b5d3d2,ntoskrnl,NtSetLowEventPair
0,345,0x82b5d2fc,ntoskrnl,NtSetLowWaitHighEventPair
0,346,0x82b0b95f,ntoskrnl,NtSetQuotaInformationFile
0,347,0x82a54626,ntoskrnl,NtSetSecurityObject
0,348,0x82b568cd,ntoskrnl,NtSetSystemEnvironmentValue
0,349,0x82b56edf,ntoskrnl,NtSetSystemEnvironmentValueEx
0,350,0x82aa10ee,ntoskrnl,NtSetSystemInformation
0,351,0x82b73d7a,ntoskrnl,NtSetSystemPowerState
0,352,0x82ae2e70,ntoskrnl,NtSetSystemTime
0,353,0x82ae9b4d,ntoskrnl,NtSetThreadExecutionState
0,354,0x828d5d52,ntoskrnl,NtSetTimer
0,355,0x828e84b9,ntoskrnl,NtSetTimerEx
0,356,0x82a43b3e,ntoskrnl,NtSetTimerResolution
0,357,0x829e52d7,ntoskrnl,NtSetUuidSeed
0,358,0x82a5d427,ntoskrnl,NtSetValueKey
0,359,0x82b0b979,ntoskrnl,NtSetVolumeInformationFile
0,360,0x82b555ad,ntoskrnl,NtShutdownSystem
0,361,0x82a659b7,ntoskrnl,NtShutdownWorkerFactory
0,362,0x8291f701,ntoskrnl,NtSignalAndWaitForSingleObject
0,363,0x82b454ca,ntoskrnl,NtSinglePhaseReject
0,364,0x82b5db84,ntoskrnl,NtStartProfile
0,365,0x82b5dd7b,ntoskrnl,NtStopProfile
0,366,0x82b3089f,ntoskrnl,NtSuspendProcess
0,367,0x82ae7e2d,ntoskrnl,NtSuspendThread
0,368,0x82ad8464,ntoskrnl,NtSystemDebugControl
0,369,0x82a4536f,ntoskrnl,NtTerminateJobObject
0,370,0x82aad9bf,ntoskrnl,NtTerminateProcess
0,371,0x82acb334,ntoskrnl,NtTerminateThread
0,372,0x82ac2afa,ntoskrnl,NtTestAlert
0,373,0x8292575f,ntoskrnl,NtThawRegistry
0,374,0x82b46478,ntoskrnl,NtThawTransactions
0,375,0x82aa29bb,ntoskrnl,NtTraceControl
0,376,0x829186a0,ntoskrnl,NtTraceEvent
0,377,0x82b58df9,ntoskrnl,NtTranslateFilePath
0,378,0x82b1c74b,ntoskrnl,NtUmsThreadYield
0,379,0x82b0c1cf,ntoskrnl,NtUnloadDriver
0,380,0x82adb503,ntoskrnl,NtUnloadKey
0,381,0x82adb51d,ntoskrnl,NtUnloadKey2
0,382,0x82aedd53,ntoskrnl,NtUnloadKeyEx
0,383,0x82a58eaf,ntoskrnl,NtUnlockFile
0,384,0x8286eb17,ntoskrnl,NtUnlockVirtualMemory
0,385,0x82ab763a,ntoskrnl,NtUnmapViewOfSection
0,386,0x82b4a769,ntoskrnl,NtVdmControl
0,387,0x82b00ed7,ntoskrnl,NtWaitForDebugEvent
0,388,0x82a82e16,ntoskrnl,NtWaitForKeyedEvent
0,389,0x82a7b435,ntoskrnl,NtWaitForMultipleObjects
0,390,0x82b26904,ntoskrnl,NtWaitForMultipleObjects32
0,391,0x82a7aae7,ntoskrnl,NtWaitForSingleObject
0,392,0x828d57b1,ntoskrnl,NtWaitForWorkViaWorkerFactory
0,393,0x82b5d293,ntoskrnl,NtWaitHighEventPair
0,394,0x82b5d22a,ntoskrnl,NtWaitLowEventPair
0,395,0x8290e4b4,ntoskrnl,NtWorkerFactoryWorkerReady
0,396,0x82ac1f2b,ntoskrnl,NtWriteFile
0,397,0x829f22f7,ntoskrnl,NtWriteFileGather
0,398,0x82b1c926,ntoskrnl,NtWriteRequestData
0,399,0x82ab271c,ntoskrnl,NtWriteVirtualMemory
0,400,0x8287d5c5,ntoskrnl,NtYieldExecution

