TreeDepth,Allocation,Tag,PoolType,NumberOfBytes,Status
0,0x94579000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x9497a000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94d7b000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x9d15c000,MmRe,PagedPool,0x1dd0,Allocated
0,0x857a4000,Cont,NonPagedPool,0x1000,Allocated
0,0x85fa6000,Cont,NonPagedPool,0x1000,Allocated
0,0x85e0e000,Cont,NonPagedPool,0x1000,Allocated
0,0xa1015000,MmRe,PagedPool,0x25d0,Allocated
0,0x913f6000,CM25,PagedPool,0x1000,Allocated
0,0x92bf8000,CM25,PagedPool,0x1000,Allocated
0,0x92ff9000,CM25,PagedPool,0x1000,Allocated
0,0x937ff000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x9125e000,CM25,PagedPool,0x1000,Allocated
0,0x92e51000,CM25,PagedPool,0x1000,Allocated
0,0x93657000,CM25,PagedPool,0x1000,Allocated
0,0x93e55000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x93ffd000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x9424a000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x9464b000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x947e3000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94a48000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94be0000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x96643000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x967eb000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x917f7000,CMA,PagedPool,0x1000,Allocated
0,0x88c81000,CM16,PagedPool,0x1000,Allocated
0,0x850b6000,Cont,NonPagedPool,0x1000,Allocated
0,0x85f1d000,Cont,NonPagedPool,0x1000,Allocated
0,0x860ba000,Cont,NonPagedPool,0x1000,Allocated
0,0xa169e000,CMA,PagedPool,0x1000,Allocated
0,0x92ce8000,CM25,PagedPool,0x1000,Allocated
0,0x930ef000,CM25,PagedPool,0x1000,Allocated
0,0x928e9000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x93cec000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x9134f000,CM25,PagedPool,0x1000,Allocated
0,0x92b41000,CM25,PagedPool,0x1000,Allocated
0,0x92f40000,CM25,PagedPool,0x1000,Allocated
0,0x93746000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x93f44000,CM31,PagedPoolCacheAligned,0x3000,Allocated
0,0x9435b000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x944f2000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x9475a000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x948f1000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94b59000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94cf0000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x968f9000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x920eb000,MmRe,PagedPool,0x23d0,Allocated
0,0x87d8c000,ArbA,PagedPool,0x1000,Allocated
0,0x8259a000,MmAc,NonPagedPool,0x1000,Allocated
0,0x85d84000,Cont,NonPagedPool,0x1000,Allocated
0,0x8618b000,FlpS,NonPagedPool,0x1000,Allocated
0,0x935d9000,MmRe,PagedPool,0x4680,Allocated
0,0x965cd000,CM25,PagedPool,0x1000,Allocated
0,0x92ddf000,CM25,PagedPool,0x3000,Allocated
0,0x931d8000,CM25,PagedPool,0x1000,Allocated
0,0x92c37000,CM25,PagedPool,0x1000,Allocated
0,0x93030000,CM25,PagedPool,0x1000,Allocated
0,0x92836000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x929de000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x93c33000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x93ddb000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x9442d000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x945c5000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x9482e000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x949c6000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94c2f000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94dc7000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x9d008000,MmRe,PagedPool,0x1318,Allocated
0,0x85e92000,Cont,NonPagedPool,0x1000,Allocated
0,0x8a6ac000,MmRe,PagedPool,0x2658,Allocated
0,0x912c2000,CM25,PagedPool,0x1000,Allocated
0,0x92acc000,CM25,PagedPool,0x1000,Allocated
0,0x92ecd000,CM25,PagedPool,0x1000,Allocated
0,0x936cb000,CM25,PagedPool,0x1000,Allocated
0,0x93520000,CM29,PagedPool,0x2000,Allocated
0,0x92d26000,CM25,PagedPool,0x1000,Allocated
0,0x93121000,CM25,PagedPool,0x1000,Allocated
0,0x92927000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x93d22000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x93ec9000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x942d6000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x9453c000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x946d7000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x9493f000,CM31,PagedPoolCacheAligned,0x1000,Allocated
