TreeDepth,Offset,RecordType,RecordNumber,LinkCount,MFTType,Permissions,AttributeType,Created,Modified,Updated,Accessed,Filename
0,0x88663050,FILE,26252,3,File,N/A,STANDARD_INFORMATION,2010-11-21 00:38:35.000000 ,2010-11-21 00:38:35.000000 ,2023-04-25 01:34:02.000000 ,2010-11-21 00:38:35.000000 ,N/A
1,0x886630b0,FILE,26252,3,File,Archive,FILE_NAME,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,BDEUNL~1.MUI
1,0x88663128,FILE,26252,3,File,Archive,FILE_NAME,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,BdeUnlockWizard.exe.mui
1,0x886631b0,FILE,26252,3,File,Archive,FILE_NAME,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,BdeUnlockWizard.exe.mui
0,0x88663450,FILE,26253,3,File,N/A,STANDARD_INFORMATION,2010-11-21 00:38:31.000000 ,2010-11-21 00:38:31.000000 ,2023-04-25 01:34:02.000000 ,2010-11-21 00:38:34.000000 ,N/A
1,0x886634b0,FILE,26253,3,File,Archive,FILE_NAME,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,BIOCPL~1.MUI
1,0x88663528,FILE,26253,3,File,Archive,FILE_NAME,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,biocpl.dll.mui
1,0x886635a0,FILE,26253,3,File,Archive,FILE_NAME,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,biocpl.dll.mui
0,0x88663850,FILE,26254,3,File,N/A,STANDARD_INFORMATION,2010-11-21 00:38:30.000000 ,2010-11-21 00:38:30.000000 ,2023-04-25 01:34:02.000000 ,2010-11-21 00:38:31.000000 ,N/A
1,0x886638b0,FILE,26254,3,File,Archive,FILE_NAME,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,BIOCRE~1.MUI
1,0x88663928,FILE,26254,3,File,Archive,FILE_NAME,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,BioCredProv.dll.mui
1,0x886639a8,FILE,26254,3,File,Archive,FILE_NAME,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,BioCredProv.dll.mui
