TreeDepth,Offset,Name,Size
0,0x5dd11b8,\\Windows\\System32\\LogFiles\\Scm\\73259f86-29d6-42ff-b1e7-634f6e40d4f8,128
0,0x5dd13a0,\\Windows\\System32\\LogFiles\\Scm\\6b7ac694-8d6d-481b-9dd8-2a3a741ada6d,128
0,0x5dd15a8,\\Program Files\\VMware\\VMware Tools\\plugins\\vmusr\\dndcp.dll,128
0,0x5dd1868,\\Windows\\System32\\wshext.dll,128
0,0x5dd1920,\\Program Files\\Windows NT\\Accessories\\en-US\\wordpad.exe.mui,128
0,0x5dd1bb0,\\Windows\\System32\\LogFiles\\Scm\\6aef0c98-2cb4-4b67-8c70-4c977c7355cc,128
0,0x5dd1e60,\\Windows\\System32\\LogFiles\\Scm\\731e9c62-95b5-4c8c-ab64-4cc591c9ff5b,128
0,0x5e10670,\\Windows\\System32\\actxprxy.dll,128
0,0x5e10c28,\\Windows\\System32\\Tasks\\Microsoft\\Windows\\Location\\Notifications,128
0,0x5e10f80,\\Windows\\System32\\LogFiles\\Scm\\f93c7104-998a-4a38-b935-775a3138b3c3,128
0,0x609a538,\\Windows\\System32,128
0,0x609a840,\\Windows\\System32\\en-US\\urlmon.dll.mui,128
0,0x6213220,\\Users\\desktop.ini,128
0,0x6213438,\\Users\\Hoxed\\AppData\\Roaming\\Microsoft\\Internet Explorer\\Quick Launch\\desktop.ini,128
0,0x6213980,\\Windows\\System32\\DriverStore\\INFCACHE.1,128
0,0x63930f0,\\Windows\\Fonts\\upcli.ttf,128
0,0x63931e8,\\Windows\\System32\\Tasks\\Microsoft\\Windows\\CertificateServicesClient\\UserTask-Roam,128
0,0x6393f80,\\Windows\\System32\\Tasks\\Microsoft\\Windows\\RemoteAssistance\\RemoteAssistanceTask,128
0,0x63bf500,\\Users\\Hoxed\\AppData\\Local\\Microsoft\\Windows\\Explorer\\thumbcache_1024.db,128
0,0x64a03e0,\\Windows\\System32\\ExplorerFrame.dll,128
0,0x66201a0,\\$Directory,128
0,0x6620258,\\Windows\\System32\\DriverStore\\FileRepository\\oemprint.inf_x86_neutral_fdc3eb6dfd46a532\\oemprint.PNF,128
0,0x6620570,\\Endpoint,128
0,0x6620c08,\\Windows\\System32\\DriverStore\\FileRepository\\oemprint.inf_x86_neutral_fdc3eb6dfd46a532\\i386\\TPPrnUIdeu.dll,128
0,0x6620e48,\\Winsock2\\CatalogChangeListener-3a8-0,128
0,0x6640ac8,\\Program Files\\Microsoft Games\\Solitaire\\Solitaire.exe,128
0,0x669a998,\\Windows\\System32\\LogFiles\\Scm\\de8bae53-2809-4f75-85ef-427d364b9b2c,128
0,0x675b230,\\Windows\\System32\\Tasks\\Microsoft\\Windows\\WindowsBackup\\ConfigNotification,128
0,0x675bb98,\\Windows\\System32\\WMALFXGFXDSP.dll,128
0,0x675bf18,\\Windows\\System32\\Tasks\\Microsoft\\Windows\\User Profile Service\\HiveUploadTask,128
0,0x6898820,\\Windows\\System32\\LogFiles\\Scm\\9ca06787-f61b-4294-8866-dcef430c99ea,128
0,0x6898b28,\\Program Files\\VMware\\VMware Tools\\plugins\\common\\hgfsUsability.dll,128
0,0x699a7c8,\\$Directory,128
0,0x699a910,\\Users\\Hoxed\\AppData\\Roaming\\Microsoft\\Internet Explorer\\Quick Launch\\User Pinned\\TaskBar\\Internet Explorer.lnk,128
0,0x699a9e8,\\Users\\Hoxed\\AppData\\Roaming\\Microsoft\\Windows\\Printer Shortcuts,128
0,0x699aec8,\\Users\\Hoxed\\AppData\\Roaming\\Microsoft\\Windows\\Printer Shortcuts,128
0,0x699af80,\\Users\\Public\\Desktop\\desktop.ini,128
0,0x6e60660,\\Windows\\System32,128
0,0x6e60c78,\\Windows\\System32\\LogFiles\\Scm\\9b75c702-ea13-406a-badb-6c588ee4375b,128
0,0x6e60ef0,\\Windows\\System32\\Tasks\\Microsoft\\Windows\\CertificateServicesClient\\SystemTask,128
0,0x6ee8778,\\Windows\\System32\\winevt\\Logs\\Microsoft-Windows-User Profile Service%4Operational.evtx,128
0,0x6ee8ea0,\\Windows\\System32\\avrt.dll,128
0,0x6fa28c0,\\Windows\\System32\\IPHLPAPI.DLL,128
0,0x7065528,\\Windows\\System32\\winevt\\Logs\\Key Management Service.evtx,128
0,0x70657d8,\\Windows\\System32\\winevt\\Logs\\Internet Explorer.evtx,128
0,0x7065ce8,\\Windows\\System32\\winevt\\Logs\\HardwareEvents.evtx,128
0,0x756d240,\\Windows\\System32\\mmsys.cpl,128
0,0x756d4b0,\\Windows\\System32\\ntmarta.dll,128
0,0x756dee0,\\elineouttopo,128
0,0x76ae348,\\Windows\\System32\\clb.dll,128
0,0x76aeca0,\\Windows\\System32\\powercpl.dll,128
0,0x76aed58,\\Windows\\Fonts\\constanz.ttf,128
0,0x76aeed8,\\Windows\\Fonts\\kokilabi.ttf,128
0,0x78e3d38,\\Windows\\Fonts\\leelawad.ttf,128
0,0x7ea22b8,\\Windows\\System32\\samcli.dll,128
0,0x7fb6868,\\Windows\\System32\\napipsec.dll,128
0,0x806f038,\\Windows\\System32\\es.dll,128
0,0x816b038,\\Users\\Hoxed\\AppData\\Local\\Microsoft\\Credentials,128
0,0x816b648,\\Windows\\Registration\\R000000000006.clb,128
0,0x816ba90,\\$Directory,128
0,0x816bb48,\\Users\\Hoxed\\AppData\\Roaming\\Microsoft\\Credentials,128
0,0x822b1f8,\\Windows\\winsxs\\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.17514_none_ec83dffa859149af\\comctl32.dll,128
0,0x822b550,\\Windows\\System32\\dllhost.exe,128
0,0x83e1a50,\\$Directory,128
0,0x83e1cc0,\\Windows\\System32\\LogonUI.exe,128
0,0x83e1e60,\\Program Files\\VMware\\VMware Tools\\plugins\\vmusr\\desktopEvents.dll,128
0,0x8471a90,\\Endpoint,128
0,0x84fe528,\\Windows\\System32\\dxtmsft.dll,128
0,0x84feb70,\\Windows\\System32\\eapphost.dll,128
0,0x85ec1b0,\\Windows\\System32\\winevt\\Logs\\Microsoft-Windows-Kernel-WHEA%4Operational.evtx,128
0,0x85ec4b8,\\Windows\\System32\\winevt\\Logs\\Microsoft-Windows-Kernel-Power%4Thermal-Operational.evtx,128
0,0x85ec620,\\Windows\\Registration\\R000000000006.clb,128
0,0x85ecbb0,\\Windows\\System32\\microsoft-windows-kernel-processor-power-events.dll,128
0,0x8634d00,\\Windows\\System32\\drvinst.exe,128
0,0x873f038,\\Windows\\Fonts\\kokilab.ttf,128
0,0x873f320,\\Windows\\System32\\winevt\\Logs\\Microsoft-Windows-Known Folders API Service.evtx,128
0,0x873f5f0,\\emicintopo,128
0,0x873f838,\\Windows\\System32\\winevt\\Logs\\Microsoft-Windows-Windows Defender%4WHC.evtx,128
0,0x873fa20,\\Windows\\System32\\winevt\\Logs\\Microsoft-Windows-Windows Defender%4Operational.evtx,128
0,0x873fb60,\\$Extend\\$ObjId,128
0,0x873fc18,\\Program Files\\Windows Defender\\MpEvMsg.dll,128
0,0x87b3028,\\$PrepareToShrinkFileSize,128
0,0x87b3150,\\Windows\\Registration\\R000000000006.clb,128
0,0x87b34f8,\\$PrepareToShrinkFileSize,128
0,0x87b3990,\\$PrepareToShrinkFileSize,128
0,0x87b3b20,\\Windows\\setupact.log,128
0,0x8800e00,\\Windows\\System32\\drivers\\TsUsbFlt.sys,128
0,0x8800f80,\\Windows\\System32\\drivers\\en-US\\tsusbflt.sys.mui,128
0,0x88efa18,\\Windows\\System32\\drivers\\rspndr.sys,128
0,0x8921678,\\Endpoint,128
0,0x8921cd0,\\Endpoint,128
0,0x8921f80,\\$Directory,128
0,0x89e8e08,\\Windows\\System32\\propsys.dll,128
0,0x8c2db98,\\Windows\\System32\\fvecerts.dll,128
0,0x8dfd548,\\Windows\\Fonts\\cordiab.ttf,128
0,0x8dfda08,\\elineouttopo,128
0,0x8e27740,\\Windows\\winsxs\\Manifests\\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2.manifest,128
0,0x8e27a58,\\Windows\\winsxs\\Manifests\\x86_microsoft.windows.c..-controls.resources_6595b64144ccf1df_6.0.7600.16385_en-us_581cd2bf5825dde9.manifest,128
